SAVOONGA AIRPORT    AK - 702035                                                 														
 63 deg    41' N  170 deg    30' W - Elev   16m   LST=GMT+99 hours   *NT=-11    														
 06/87-09/02                                                                    							Adjusted to Alaska Timezone (GMT-9)							
SPEED BY YEAR                                                                   														
	Year	ALL	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
	6	0	3.1	3.3	4.4	4	4.4	3.8	3.7	4.1	4.1	4.4	4.4	4.3	4.1	4.8	5.8	5.9	5	6.1	6	6.7	5.9	6.4	6.8	6.3	6.8	6.3	5.8	5.3	4.2	3.1	2.8	3	2.7	3.4	3.5	3.3	3.1
	7	0	3.1	3.4	3.7	3.4	3.4	3.4	3.7	3.6	4.2	4.4	4.7	4.9	4.5	3.9	4.4	4.4	4.5	5.4	6.2	6.9	7	7	6.8	6.3	6.7	5.8	5.6	5.1	4.5	3.6	2.9	2.5	3	3.6	4.3	3.6	3.1
	8	0	6.1	6.3	6.3	6.2	5	4.5	4.2	4.4	4.7	5.2	5.9	5.4	5.4	5.9	6.3	6.3	6.2	6.1	7.3	7.9	7.8	7.5	6.9	6.8	6.9	7	6.4	5.3	4.8	3.7	3.3	3.1	3.7	5.2	5.1	5.9	6.1
	9	0	7.9	8.3	8.4	7.7	7.4	6	5.6	5.4	5.1	5.9	5.9	5.2	5	5.4	4.9	5	5.8	5.6	6.9	7.2	6.6	5.9	5.5	6	5.8	6.1	6.1	4.8	4.5	4	4.3	5.1	4.9	5.5	6.4	7.5	7.9
	10	0	7.2	8.4	8.3	7.6	7.2	7.1	7	7.7	7.2	7.4	8.2	7.7	6.9	6.2	5.6	6.1	5.4	5.8	6.1	5.8	6.3	6.2	6.3	6.8	5	6.2	6.4	6.5	7.5	6.7	6.5	6	6	6.3	6.9	7.6	7.2
	11	0	9	9.5	9.7	9.5	8.8	9.3	9.3	8.8	8.8	9	9.4	9.4	8.5	7.8	9.3	8.6	7.4	6.5	6.4	7	6.9	6.1	6.2	6.8	6.9	7.8	7.1	6.9	7.5	7.1	6.3	6.5	7.4	7.8	8.1	8.4	9
	12	0	7	7.9	7.7	7.2	7.6	7.6	7.8	7.1	7.7	7.8	7.4	6	5.2	5	6	8.4	7.9	8	6.6	5.9	5.1	5.7	6.3	6.9	6.8	5.6	5	4.5	4.7	3.5	4	4	5.2	6.1	6.8	6.5	7
FREQUENCY BY DIRECTION                                                          																																							
	Month	calm	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	260	270	280	290	300	310	320	330	340	350	360
	ALL	6.97	2.51	3.45	4.38	5.01	5.02	5.17	5.16	5.22	5.38	5.79	5.23	3.17	2.28	1.65	1.19	1.07	1.12	1.39	1.79	1.76	2.04	2.24	2.43	2.49	2.89	3.16	3	2.45	1.59	1.11	0.92	0.92	1.08	1.54	1.97	2.41	2.51
